CustomerID,Recency,Lifetime_Frequency,Lifetime_Monetary,Total_Items_Bought,Avg_Days_Between,Max_Days_Between,Std_Days_Between,TenureDays,AvgOrderValue,ItemsPerOrder,PurchaseVelocity,Latency_Multiplier,RevenueVelocity,Cancel_Count,CancelRate,Num_Countries,Churn
12346,234,1,77183.6,74215,0.0,0.0,0.0,234,77183.6,74215.0,0.00425531914893617,0.0,328.4408510638298,1.0,0.5,1,1
12347,38,5,2790.86,1590,1.910569105691057,70.0,10.569836552919405,276,558.172,318.0,0.018050541516245487,13.05586592178771,10.075306859205776,0.0,0.0,1,0
12348,157,3,1487.24,2124,4.037037037037037,70.0,15.166971913900186,266,495.74666666666667,708.0,0.011235955056179775,31.169117647058822,5.570187265917603,0.0,0.0,1,0
12350,218,1,334.4,197,0.0,0.0,0.0,218,334.4,197.0,0.0045662100456621,218.0,1.5269406392694063,0.0,0.0,1,1
12352,170,5,1561.81,254,0.918918918918919,16.0,3.4105911704764815,205,312.36199999999997,50.8,0.024271844660194174,88.59154929577466,7.581601941747572,3.0,0.5,1,0
12353,112,1,89.0,20,0.0,0.0,0.0,112,89.0,20.0,0.008849557522123894,112.0,0.7876106194690266,0.0,0.0,1,1
12354,141,1,1079.4,530,0.0,0.0,0.0,141,1079.4,530.0,0.007042253521126761,141.0,7.601408450704226,0.0,0.0,1,1
12355,123,1,459.4,240,0.0,0.0,0.0,123,459.4,240.0,0.008064516129032258,123.0,3.704838709677419,0.0,0.0,1,1
12356,154,2,2753.08,1586,1.4285714285714286,80.0,10.690449676496979,234,1376.54,793.0,0.00851063829787234,63.41176470588235,11.715234042553192,0.0,0.0,1,0
12358,59,1,484.86,100,0.0,0.0,0.0,59,484.86,100.0,0.016666666666666666,59.0,8.081,0.0,0.0,1,0
12359,98,3,3495.73,965,0.9929577464788732,115.0,9.87905333196408,240,1165.2433333333333,321.6666666666667,0.012448132780082987,49.17314487632509,14.505103734439833,1.0,0.25,1,0
